ID,SMILES
SBSM154331,S1(C(=NC2(=C1C=CC=C2))C(=CC4(=CC([N+](=O)[O-])=C(N(C3(=CC=CC=C3))C)C=C4))CCC(=O)O),DNMT1
SBSM142655,S(CC1(=C(OC)C=CC(=C1)C(=O)C=CC3(=CC=C(C2(=CC=CC=C2))C=C3)))CC(=O)O,DNMT1
SBSM22553,S(C(C2(=CC=C(C1(=CC=CC=C1))C=C2))(C3(=CC=CC=C3))C4(=CC=CC=C4))CC(N)C(=O)O,DNMT1
SBSM122239,S(=O)(=O)(NC2(=CC=C(C(=O)OCC(=O)NCC=1(OC=CC=1))C=C2))C=3(SC=CC=3),DNMT1
SBSM19046,S(=O)(=O)(NC1(=NC(=CC=N1)C))C3(=CC=C(NC(=O)CC=2(SC=CC=2))C=C3),DNMT1
SBSM19964,ClC4(=CC=C(C(=O)CSC1(=NC(O)=C2(C=NN(C2(=N1))C3(=CC=CC=C3))))C=C4),DNMT1
SBSM19986,O=C2(N(C1(=CC=C(OC)C=C1))CC=5(C2=C(C(=O)N4(CCN(C(=O)C=3(OC=CC=3))CC4))C=CC=5)),DNMT1
SBSM117759,O=C(N(CC(=O)NC1(=CC=C(C)C=C1))C)C3(=CC(N2(C=CC=C2))=CC=C3),DNMT1
SBSM82892,N4(=C2(N(C1(=C(C=CC=C1)C3(=C2C=CC=C3)))CC4)),DNMT1
SBSM272341,S2(C(=O)N(CC(=O)NC1(=C(C=C(C)C=C1)C))C(C2=CC=4(N(C3(=CC(C(=O)O)=CC=C3))C=CC=4))=O),DNMT1
SBSM135812,S(=O)(=O)(N1(CCOCC1))C2(=C(OCC)C=CC(=C2)NC(=O)C4(=CC(N3(C=CC=C3))=CC=C4)),DNMT1
SBSM103799,ClC1(=C(Cl)C=CC=C1OCC=4(OC(C(=O)NC2(C(=O)N3(C(=C(COC(=O)C)CSC23)C(=O)O)))=CC=4)),DNMT1
SBSM108144,[Br]C2(=CC=C(S(=O)(=O)CCC(=O)NC1(=C(C=C(N(CC)CC)C=C1)C))C=C2),DNMT1
SBSM116101,S(C1(=NC(=O)CC(N1)=O))CC(=O)NC2(=C([N+](=O)[O-])C=CC=C2),DNMT1
SBSM19753,O=[N+]([O-])C3(=C(NC(=O)C=CC=1(OC(C)=CC=1))C=C(NC(=O)C=CC=2(OC(C)=CC=2))C=C3),DNMT1
SBSM16273,O=C(OCC(=O)NCC1(=C(OC)C=CC=C1))C=2(C=4(C(N=C(C=2)C=3(OC=CC=3))=CC=CC=4)),DNMT1
SBSM21331,O=[N+]([O-])C3(=CC=C(NC(=O)COC2(=CC=C(C=NNC(=O)C1(=CC=C(O)C=C1))C=C2))C=C3),DNMT1
SBSM116246,ClC4(=CC=C(C3(N1(C(SC(C1=O)=CC2(=CC=C(OCC(=O)O)C=C2))=NC(=C3C(=O)OCC)C)))C=C4),DNMT1
SBSM137774,S=C1(NC(=O)C(N1)=CC3(C(=O)N(C2(=CC=CC=C2))N=C3C)),DNMT1
SBSM134610,O=C(OC)C(=C(N(C)C)C=CC=CC=CN(C)C)C(=O)C,DNMT1
SBSM104851,[Br]C4(=CC=3(SC(NC(=O)CSC=1(SC=2(C(O)=CC(=NC=2(C=1C#N))O)))=NC=3C=C4)),DNMT1
SBSM180196,O=C1(C(=C(OC(=C1)C=O)OC)C(=O)CCCCCCCC),DNMT1
SBSM179917,S1(C(=CC=C1)CC(=O)NC2(=C(C(=O)OC)C=CC(=C2)C(=O)OC)),DNMT1
SBSM481045,S(CC3(OC(N1(N=NC=2(C1=NC=NC=2N)))C(C3O)O))CCC(N)C(=O)O,DNMT1
SBSM99346,S(=O)(=O)(NC1(=CC(OC)=CC=C1))C5(=CC3(=C(NC(C2(=CC=C(C(=O)O)C=C2))C4(C3C=CC4))C=C5)),DNMT1
SBSM16477,S(=O)(=O)(NC=1(SC(CC)=NN=1))C3(=CC=C(NC(=S)NC(=O)C=CC2(=CC=C(C(C)C)C=C2))C=C3),DNMT1
SBSM121762,S2(C([N+](=O)[O-])=C(SCC(=O)NC1(=C(C=CC=C1)C))C=C2),DNMT1
SBSM15648,O=C4(N(C(N)=C(C(=O)COC(=O)C=1(C=3(C(N=C(C=1)C=2(OC=CC=2))=CC=CC=3)))C(N4C)=O)C),DNMT1
SBSM118250,FC4(=C(NC(=O)CN1(N=CC2(=C(C)N(C(=C2(C1=O))C)CC3(=C(F)C=CC=C3))))C(F)=C(F)C=C4F),DNMT1
SBSM85003,O=C3(OC1(=C(C=C(OC)C(=C1)OC2(OC(C(O)C(C2O)O)CO))C=C3OC5(=CC=4(OC(=O)C=CC=4C=C5)))),DNMT1
SBSM483574,S(CC4(OC(N2(C1(=NC=NC(=C1N=C2)NCCCC3(=CC=CC=C3))))C(C4O)O))CCC(N)C(=O)O,DNMT1
SBSM99844,O=C(N1(CCC(C(=O)OC)CC1))C=2(C=4(C(N=C(C=2)C=3(OC=CC=3))=CC=CC=4)),DNMT1
SBSM19943,S1(C(=NC2(=C1C=CC=C2))C(=CC4(=CC([N+](=O)[O-])=C(N(C3(=CC=CC=C3))C)C=C4))CCC(=O)O),DNMT1
